"Ticker","Nazwa emitenta","Data autoryzacji","Data pierwszego notowania","Data wykupu","Rodzaj oprocentowania obligacji","Oprocentowanie w bieżącym okresie odsetkowym (%)","Strona www emitenta","Wartosc nominalna","Wartosc emisji","Odsetki skumulowane","Waluta"
"MIL0129","BANK MILLENNIUM","2019-04-02","2019-04-02","2029-01-30","zmienne","9.29","www.bankmillennium.pl","500 000,00","830 000 000,00","10 689,86","PLN"
"MIL1227","BANK MILLENNIUM","2018-02-28","2018-02-28","2027-12-07","zmienne","9.7","www.bankmillennium.pl","500 000,00","700 000 000,00","18 336,99","PLN"
"MVP0524","MARVIPOL DEVELOPMENT","2021-02-03","2021-02-03","2024-05-10","zmienne","12.32","http://relacje.marvipoldevelopment.pl/","1 000,00","56 900 000,00","56,03","PLN"
"MVP0825","MARVIPOL DEVELOPMENT","2022-02-10","2022-02-10","2025-08-03","zmienne","11.49","http://relacje.marvipoldevelopment.pl/","1 000,00","70 000 000,00","25,50","PLN"
"MVP1024","MARVIPOL DEVELOPMENT","2021-06-02","2021-06-02","2024-10-21","zmienne","11.45","http://relacje.marvipoldevelopment.pl/","1 000,00","116 000 000,00","1,25","PLN"
"NOD1224","NOVDOM","2022-05-25","2022-05-25","2024-12-02","zmienne","11.79","www.novdom.pl","1 000,00","20 000 000,00","17,44","PLN"
"NVA0624","PA NOVA","2022-01-10","2022-01-10","2024-06-28","zmienne","11.4","www.pa-nova.com.pl","1 000,00","30 000 000,00","8,75","PLN"
"OBC0525","OLIVIA FIN","2023-03-07","2023-03-07","2025-05-15","zmienne","13.1","http://ogobc.olivia.biz","1 000,00","25 000 000,00","57,78","PLN"
"PBX0625","PEKABEX","2021-06-18","2021-06-18","2025-06-11","zmienne","10.01","www.pekabex.pl","1 000,00","40 000 000,00","37,02","PLN"
"PCR0324","PCC ROKITA","2018-04-10","2018-04-10","2024-03-23","stałe","5","www.pcc.rokita.pl; www.pccinwestor.pl","100,00","25 000 000,00","0,47","PLN"
"PCR0425","PCC ROKITA","2018-05-10","2018-05-10","2025-04-24","stałe","5","www.pcc.rokita.pl; www.pccinwestor.pl","100,00","20 000 000,00","0,03","PLN"
"PCR0426","PCC ROKITA","2019-05-21","2019-05-21","2026-04-29","stałe","5","www.pcc.rokita.pl; www.pccinwestor.pl","100,00","22 000 000,00",NA,"PLN"
"PCR0527","PCC ROKITA","2020-05-28","2020-05-28","2027-05-12","stałe","5.5","www.pcc.rokita.pl; www.pccinwestor.pl","100,00","17 809 400,00","1,10","PLN"
"PCR0823","PCC ROKITA","2016-08-31","2016-08-31","2023-08-11","stałe","5","www.pcc.rokita.pl; www.pccinwestor.pl","100,00","25 000 000,00","1,01","PLN"
