"Ticker","Nazwa emitenta","Waluta","Rynek","Wartosc nominalna","Data poprzedniej wypłaty","Dni od poprzedniej wypłaty","Data nastepnej wypłaty","Dni do następnej wypłaty","Rodzaj oprocentowania obligacji","WIBOR","Oprocentowanie","Oprocentowanie w bieżącym okresie odsetkowym (%)","Odsetki skumulowane","Liczba transakcji wrzesień 2023","Liczba dni z transakcjami wrzesień 2023","Obroty [tys.] wrzesień 2023","Data autoryzacji","Data pierwszego notowania","Data wykupu","Wartosc emisji","Zabezpieczenie","Strona www emitenta"
"ECH0627","ECHO INVESTMENT","PLN","GPW RR","100,00",NA,NA,2023-12-28,39,"zmienne","WIBOR 6M","4%","10.95","2,49",55,15,748.36,"2023-08-01","2023-08-01","2027-06-28","50 000 000,00","NIE","www.echo.com.pl"
"ECH0926","ECHO INVESTMENT","PLN","","100,00",2023-09-06,74,2024-03-06,108,"zmienne","WIBOR 6M","4%","10.47","0,37",54,16,436.73,"2022-10-17","2022-10-17","2026-09-06","25 000 000,00","NIE","www.echo.com.pl"
"ECH1123","ECHO INVESTMENT","PLN","GPW RR","100,00",2023-11-08,11,NA,NA,"zmienne","WIBOR 6M","3.4%","10.35","3,80",69,15,896.42,"2018-11-09","2018-11-09","2023-11-08","50 000 000,00","NIE","www.echo.com.pl"
"ECH1125","ECHO INVESTMENT","PLN","GPW ASO","10 000,00",2023-11-10,9,2024-05-10,173,"zmienne","WIBOR 6M","4.4%","11.35","410,47",2,2,21.04,"2022-01-10","2022-01-10","2025-11-10","172 000 000,00","NIE","www.echo.com.pl"
"ECH1227","ECHO INVESTMENT","PLN","GPW ASO","10 000,00",2023-06-08,164,2023-12-08,19,"zmienne","WIBOR 6M","4.5%","11.45","323,11",0,0,0,"2023-02-17","2023-02-17","2027-12-08","180 000 000,00","NIE","www.echo.com.pl"
"EIB0925","EUROPEJSKI BANK","PLN","GPW RR","1 000,00",2023-09-25,55,2024-09-25,311,"stałe","","7%","7","67,12",0,0,0,"2022-10-26","2022-10-26","2025-09-25","1 500 000 000,00","NIE",""
"ENA0624","ENEA","PLN","GPW ASO, BS ASO","100 000,00",2023-06-26,146,2023-12-26,37,"zmienne","WIBOR 6M","1.2%","8.15","1 897,95",0,0,0,"2019-09-27","2019-09-27","2024-06-26","2 000 000 000,00","NIE","www.enea.pl"
"ENA0624","ENEA","PLN","GPW ASO, BS ASO","100 000,00",2023-06-26,146,2023-12-26,37,"zmienne","WIBOR 6M","1.2%","8.15","1 897,95",8,6,3789.82,"2019-09-27","2019-09-27","2024-06-26","2 000 000 000,00","NIE","www.enea.pl"
"ERB0925","ERBUD","PLN","GPW ASO","1 000,00",2023-09-23,57,2024-03-23,125,"zmienne","WIBOR 6M","2.6%","9.57",NA,13,10,145.3,"2021-09-30","2021-09-30","2025-09-23","75 000 000,00","NIE","www.erbud.pl"
"EUR1225","EUROCASH","PLN","GPW ASO","1 000,00",2023-06-23,149,2023-12-27,38,"zmienne","WIBOR 6M","2.25%","9.2","22,18",22,11,271.3,"2021-01-07","2021-01-07","2025-12-23","125 000 000,00","NIE","www.grupaeurocash.pl"
"EVC0624","EVEREST CAPITAL","PLN","GPW ASO","1 000,00",2023-09-18,62,2024-03-18,120,"zmienne","WIBOR 6M","5%","12","0,30",0,0,0,"2021-01-14","2021-01-14","2024-06-25","9 000 000,00","TAK","www.bocianpozyczki.pl"
"GEA0624","GRENEVIA","PLN","GPW ASO, BS ASO","1 000,00",2023-06-27,145,2023-12-27,38,"zmienne","WIBOR 6M","2.6%","9.55","21,98",0,0,0,"2019-10-04","2019-10-04","2024-06-27","200 000 000,00","NIE","www.grenevia.com"
"GEA0624","GRENEVIA","PLN","GPW ASO, BS ASO","1 000,00",2023-06-27,145,2023-12-27,38,"zmienne","WIBOR 6M","2.6%","9.55","21,98",6,4,565.4,"2019-10-04","2019-10-04","2024-06-27","200 000 000,00","NIE","www.grenevia.com"
"GEA1126","GRENEVIA","PLN","GPW ASO","1 000,00",2023-11-03,16,2024-05-03,166,"zmienne","WIBOR 6M","2.9%","9.85","37,51",2,2,22.33,"2021-11-10","2021-11-10","2026-11-03","400 000 000,00","NIE","www.grenevia.com"
"GHE0124","GHELAMCO INVEST","PLN","GPW RR","100,00",2023-07-15,127,2024-01-15,57,"stałe","","6.1%","6.1","1,10",197,20,4484.44,"2020-07-22","2020-07-22","2024-01-15","205 000 000,00","TAK","www.ghelamco.com"
"GHE0226","GHELAMCO INVEST","PLN","GPW ASO","1 000,00",2023-08-03,108,2024-02-03,76,"zmienne","WIBOR 6M","5%","11.62","14,96",184,21,2229.82,"2023-02-10","2023-02-10","2026-02-03","240 000 000,00","TAK","www.ghelamco.com"
"GHE0924","GHELAMCO INVEST","PLN","GPW ASO","1 000,00",2023-09-25,55,2024-03-25,127,"zmienne","WIBOR 6M","5%","11.96",NA,0,0,0,"2020-10-01","2020-10-01","2024-09-25","50 000 000,00","TAK","www.ghelamco.com"
"GHE1224","GHELAMCO INVEST","PLN","GPW ASO","1 000,00",2023-06-16,156,2023-12-16,27,"zmienne","WIBOR 6M","5%","11.95","31,10",0,0,0,"2020-12-18","2020-12-18","2024-12-16","45 000 000,00","TAK","www.ghelamco.com"
